,NOMBRE,PRECIO (€),LINK,PRODUCTO,PALETA,TIENDA
10,Eye Candy Paleta de Sombras,7.99,https://www.primor.eu/viva-la-diva/71317-eye-candy-paleta-de-sombras.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
11,Friends X Revolution Paleta de Sombras Chandler,9.99,https://www.primor.eu/revolution/72033-friends-x-revolution-paleta-de-sombras-chandler.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
12,Unicorn Heart Glow Paleta de Sombras,11.99,https://www.primor.eu/i-heart-revolution/70991-unicorn-heart-glow-paleta-de-sombras.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
13,Paleta de sombras Sun fun and Roses,1.0,https://www.primor.eu/viva-la-diva/84094-paleta-de-sombras-sun-fun-and-roses.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
14,Soft Hues Paleta Amethyst,2.99,https://www.primor.eu/w7/67708-soft-hues-paleta-amethyst.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
15,Creator Paint Book Paleta de Maquillaje,21.99,https://www.primor.eu/revolution/85893-creator-paint-book-paleta-de-maquillaje.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
16,Paleta grande Looney Tunes™,21.99,https://www.primor.eu/i-heart-revolution/85361-paleta-grande-looney-tunes.html#/paleta_de_sombras-30_sombras,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
17,Ctrl + Alt + Create Paleta de sombras,15.99,https://www.primor.eu/sleek/78996-ctrl-alt-create-paleta-de-sombras.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
18,Paleta de Sombras The Simpsons Summer Of Love,18.99,https://www.primor.eu/revolution/82233-paleta-de-sombras-the-simpsons-summer-of-love.html#/paleta_de_sombras-24_sombras,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
19,Paula Mini eyEXshadow Palette,14.95,https://www.primor.eu/krash-kosmetics/70725-paula-mini-eyexshadow-palette.html#/producto-paleta,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
20,The No Rules Stick Barra Multiusos,15.95,https://www.primor.eu/3ina/83660-the-no-rules-stick-barra-multiusos.html#/3ina_stick-503,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
21,The No Rules Stick Barra Multiusos,15.95,https://www.primor.eu/3ina/83660-the-no-rules-stick-barra-multiusos.html#/3ina_stick-385,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
22,The No Rules Stick Barra Multiusos,15.95,https://www.primor.eu/3ina/83660-the-no-rules-stick-barra-multiusos.html#/3ina_stick-369,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
23,The No Rules Stick Barra Multiusos,15.95,https://www.primor.eu/3ina/83660-the-no-rules-stick-barra-multiusos.html#/3ina_stick-362,SOMBRAS DE OJOS,PRIMAVERA,PRIMOR
